,key_0,business_code,cust_number,name_customer,clear_date,buisness_year,posting_date,document_create_date,due_in_date,posting_id,baseline_create_date,cust_payment_terms,invoice_id,isOpen,total_open_amt(USD),Delay,bucket
0,0,U001,0200770677,Other,2020-01-19,2020.0,2020-02-27,20200226,2020-01-13 00:03:00,1.0,20200227.0,NAA8,U001,1,45808.43,6.056390291339209,"(0, 15]"
1,1,U001,0200761734,H E BUT in,2020-01-19,2020.0,2020-02-27,20200227,2020-01-13 00:03:00,1.0,20200227.0,NAA8,U001,1,94461.58,6.056390291339209,"(0, 15]"
2,2,U001,0200749225,Other,2020-01-19,2020.0,2020-02-27,20200227,2020-01-13 00:03:00,1.0,20200227.0,NAA8,U001,1,6245.5,6.056390291339209,"(0, 15]"
3,3,U001,0200466603,SMITH'S us,2020-01-19,2020.0,2020-02-27,20200226,2020-01-13 00:03:00,1.0,20200227.0,NAA8,U001,1,16592.17,6.056390291339209,"(0, 15]"
4,4,U001,CCCA02,KRAFT  ,2020-01-08,2020.0,2020-02-27,20200227,2020-01-02 00:04:00,1.0,20200227.0,NAG2,U001,1,25396.25,6.056390291339209,"(0, 15]"
5,5,U001,0200769623,WAL-MAR corp,2020-01-19,2020.0,2020-02-27,20200226,2020-01-13 00:03:00,1.0,20200227.0,NAH4,U001,1,50355.85,6.056390291339209,"(0, 15]"
6,6,U001,0200772595,SAFEW us,2020-01-19,2020.0,2020-02-27,20200226,2020-01-13 00:03:00,1.0,20200227.0,NAA8,U001,1,31687.12,6.056390291339209,"(0, 15]"
7,7,U001,0200769623,WAL-MAR corp,2020-01-19,2020.0,2020-02-27,20200228,2020-01-13 00:03:00,1.0,20200227.0,NAH4,U001,1,23619.88,6.056390291339209,"(0, 15]"
8,8,U001,0200769623,WAL-MAR corp,2020-01-19,2020.0,2020-02-27,20200226,2020-01-13 00:03:00,1.0,20200227.0,NAH4,U001,1,19.96,6.056390291339209,"(0, 15]"
9,9,U001,0200148860,DOLLA corp,2020-01-19,2020.0,2020-02-27,20200226,2020-01-13 00:03:00,1.0,20200227.0,NAA8,U001,1,83588.36,6.056390291339209,"(0, 15]"
10,10,U001,0200714710,SYSCO  trust,2020-01-19,2020.0,2020-02-27,20200227,2020-01-13 00:03:00,1.0,20200227.0,NAA8,U001,1,7778.25,6.056390291339209,"(0, 15]"
11,11,U001,Other,Other,2020-01-19,2020.0,2020-02-27,20200227,2020-01-13 00:03:00,1.0,20200227.0,NAA8,U001,1,1405.98,6.056390291339209,"(0, 15]"
12,12,U001,0200759878,SA co,2020-01-19,2020.0,2020-02-27,20200225,2020-01-13 00:03:00,1.0,20200227.0,NAH4,U001,1,33099.77,6.056390291339209,"(0, 15]"
13,13,U001,0200748108,KROGER corp,2020-01-19,2020.0,2020-02-27,20200228,2020-01-13 00:03:00,1.0,20200227.0,NAA8,U001,1,118855.54,6.056390291339209,"(0, 15]"
14,14,U001,0200403651,Other,2020-01-19,2020.0,2020-02-27,20200226,2020-01-13 00:03:00,1.0,20200227.0,NAA8,U001,1,38747.25,6.056390291339209,"(0, 15]"
15,15,U001,0200705372,FR ,2020-01-08,2020.0,2020-02-27,20200226,2020-01-02 00:05:00,1.0,20200227.0,NAGD,U001,1,10548.36,6.056390291339209,"(0, 15]"
16,16,U001,0200782001,GORDO associates,2020-01-19,2020.0,2020-02-27,20200227,2020-01-13 00:03:00,1.0,20200227.0,NAA8,U001,1,31129.05,6.056390291339209,"(0, 15]"
17,17,U001,0200152991,JET us,2020-01-24,2020.0,2020-02-27,20200227,2020-01-18 00:03:00,1.0,20200227.0,NAD1,U001,1,1239.08,6.056390291339209,"(0, 15]"
18,18,U001,0200705742,DOT us,2020-01-19,2020.0,2020-02-27,20200226,2020-01-13 00:03:00,1.0,20200227.0,NAA8,U001,1,9241.41,6.056390291339209,"(0, 15]"
19,19,U001,Other,Other,2020-01-19,2020.0,2020-02-27,20200226,2020-01-13 00:03:00,1.0,20200227.0,NAA8,U001,1,30521.8,6.056390291339209,"(0, 15]"
20,20,U001,0200705742,DOT llc,2020-01-19,2020.0,2020-02-27,20200226,2020-01-13 00:03:00,1.0,20200227.0,NAA8,U001,1,21926.82,6.056390291339209,"(0, 15]"
21,21,U001,0200769623,WAL-MAR llc,2020-01-19,2020.0,2020-02-27,20200227,2020-01-13 00:03:00,1.0,20200227.0,NAH4,U001,1,74924.85,6.056390291339209,"(0, 15]"
22,22,U001,0200769623,WAL-MAR llc,2020-01-19,2020.0,2020-02-27,20200227,2020-01-13 00:03:00,1.0,20200227.0,NAH4,U001,1,8986.08,6.056390291339209,"(0, 15]"
23,23,U001,0200974851,RESTA llc,2020-01-19,2020.0,2020-02-27,20200226,2020-01-13 00:03:00,1.0,20200227.0,NAA8,U001,1,1696.5,6.056390291339209,"(0, 15]"
24,24,U001,Other,Other,2020-01-19,2020.0,2020-02-27,20200226,2020-01-13 00:03:00,1.0,20200227.0,NAA8,U001,1,18742.78,6.056390291339209,"(0, 15]"
25,25,U001,0200759878,SA systems,2020-01-19,2020.0,2020-02-27,20200226,2020-01-13 00:03:00,1.0,20200227.0,NAH4,U001,1,28098.0,6.056390291339209,"(0, 15]"
26,26,U001,Other,Other,2020-01-19,2020.0,2020-02-27,20200226,2020-01-13 00:03:00,1.0,20200227.0,NAA8,U001,1,95862.39,6.056390291339209,"(0, 15]"
27,27,U001,0200769623,WAL-MAR llc,2020-01-19,2020.0,2020-02-27,20200227,2020-01-13 00:03:00,1.0,20200227.0,NAH4,U001,1,2096.02,6.056390291339209,"(0, 15]"
28,28,U001,0200769623,WAL-MAR corp,2020-01-19,2020.0,2020-02-27,20200228,2020-01-13 00:03:00,1.0,20200227.0,NAH4,U001,1,943.12,6.056390291339209,"(0, 15]"
29,29,U001,0200705742,DOT systems,2020-02-05,2020.0,2020-02-27,20200226,2020-01-30 00:03:00,1.0,20200227.0,NA32,U001,1,1100.47,6.056390291339209,"(0, 15]"
30,30,U001,0200726979,BJ'S  trust,2020-01-19,2020.0,2020-02-27,20200226,2020-01-13 00:03:00,1.0,20200227.0,NAA8,U001,1,232.91,6.056390291339209,"(0, 15]"
31,31,U001,0200357714,US  corp,2020-01-19,2020.0,2020-02-27,20200227,2020-01-13 00:03:00,1.0,20200227.0,NAA8,U001,1,1076.82,6.056390291339209,"(0, 15]"
32,32,U001,0200759878,SA us,2020-01-08,2020.0,2020-02-27,20200226,2020-01-02 00:05:00,1.0,20200227.0,NAGD,U001,1,4255.2,6.056390291339209,"(0, 15]"
33,33,U001,0200769623,WAL-MAR systems,2020-01-19,2020.0,2020-02-27,20200227,2020-01-13 00:03:00,1.0,20200227.0,NAH4,U001,1,59690.18,6.056390291339209,"(0, 15]"
34,34,U001,0200769623,WAL-MAR corp,2020-01-19,2020.0,2020-02-27,20200227,2020-01-13 00:03:00,1.0,20200227.0,NAH4,U001,1,4039.37,6.056390291339209,"(0, 15]"
35,35,U001,0200772595,SAFEW associates,2020-01-19,2020.0,2020-02-27,20200225,2020-01-13 00:03:00,1.0,20200227.0,NAA8,U001,1,58239.2,6.056390291339209,"(0, 15]"
36,36,U001,0200769623,WAL-MAR corp,2020-01-19,2020.0,2020-02-27,20200226,2020-01-13 00:03:00,1.0,20200227.0,NAH4,U001,1,18150.73,6.056390291339209,"(0, 15]"
37,37,U001,0200744019,TARG us,2020-01-19,2020.0,2020-02-27,20200226,2020-01-13 00:03:00,1.0,20200227.0,NAA8,U001,1,8998.63,6.056390291339209,"(0, 15]"
38,38,U001,0200769623,WAL-MAR corporation,2020-01-19,2020.0,2020-02-27,20200226,2020-01-13 00:03:00,1.0,20200227.0,NAH4,U001,1,43383.66,6.056390291339209,"(0, 15]"
39,39,U001,0200769623,WAL-MAR us,2020-01-19,2020.0,2020-02-27,20200226,2020-01-13 00:03:00,1.0,20200227.0,NAH4,U001,1,29246.65,6.056390291339209,"(0, 15]"
40,40,U001,0200769623,WAL-MAR llc,2020-01-19,2020.0,2020-02-27,20200225,2020-01-13 00:03:00,1.0,20200227.0,NAH4,U001,1,49364.71,6.056390291339209,"(0, 15]"
41,41,U001,0200424504,Other,2020-01-21,2020.0,2020-02-27,20200226,2020-01-15 00:03:00,1.0,20200315.0,Other,U001,1,4296.33,6.056390291339209,"(0, 15]"
42,42,U001,0200782669,SYGMA llc,2020-01-19,2020.0,2020-02-27,20200225,2020-01-13 00:03:00,1.0,20200227.0,NAA8,U001,1,17698.91,6.056390291339209,"(0, 15]"
43,43,U001,Other,Other,2020-01-14,2020.0,2020-02-27,20200224,2020-01-08 00:03:00,1.0,20200227.0,NA10,U001,1,28778.75,6.056390291339209,"(0, 15]"
44,44,U001,0200726979,BJ'S  us,2020-01-19,2020.0,2020-02-27,20200226,2020-01-13 00:03:00,1.0,20200227.0,NAA8,U001,1,699.11,6.056390291339209,"(0, 15]"
45,45,U001,0200780383,MEIJ foundation,2020-01-19,2020.0,2020-02-27,20200226,2020-01-13 00:03:00,1.0,20200227.0,NAA8,U001,1,13304.6,6.056390291339209,"(0, 15]"
46,46,U001,0200705742,DOT llc,2020-02-05,2020.0,2020-02-27,20200226,2020-01-30 00:03:00,1.0,20200227.0,NA32,U001,1,35214.05,6.056390291339209,"(0, 15]"
47,47,U001,0200705742,DOT corp,2020-01-07,2020.0,2020-02-27,20200227,2020-01-01 00:04:00,1.0,20200227.0,Other,U001,1,1830.77,6.056390291339209,"(0, 15]"
48,48,U001,0200769623,WAL-MAR foundation,2020-01-19,2020.0,2020-02-27,20200227,2020-01-13 00:03:00,1.0,20200227.0,NAH4,U001,1,1898.2,6.056390291339209,"(0, 15]"
49,49,U001,CCU002,KRFT FDS corporation,2020-01-08,2020.0,2020-02-27,20200225,2020-01-02 00:04:00,1.0,20200227.0,NAG2,U001,1,74126.55,6.056390291339209,"(0, 15]"
50,50,U001,CCU013,KRAFT F co,2020-02-02,2020.0,2020-02-27,20200225,2020-01-27 00:02:00,1.0,20200227.0,NAX2,U001,1,8745.15,6.056390291339209,"(0, 15]"
51,51,U001,0200956366,Other,2020-01-19,2020.0,2020-02-27,20200225,2020-01-13 00:03:00,1.0,20200227.0,NAA8,U001,1,41116.68,6.056390291339209,"(0, 15]"
52,52,U001,0200974851,RESTA trust,2020-01-24,2020.0,2020-02-27,20200227,2020-01-18 00:03:00,1.0,20200227.0,NAD1,U001,1,7359.53,6.056390291339209,"(0, 15]"
53,53,U001,0200229974,Other,2020-01-19,2020.0,2020-02-27,20200227,2020-01-13 00:03:00,1.0,20200227.0,NAA8,U001,1,19418.82,6.056390291339209,"(0, 15]"
54,54,U001,Other,Other,2020-01-19,2020.0,2020-02-27,20200226,2020-01-13 00:03:00,1.0,20200227.0,NAA8,U001,1,14861.7,6.056390291339209,"(0, 15]"
55,55,U001,0200769623,WAL-MAR foundation,2020-01-19,2020.0,2020-02-27,20200226,2020-01-13 00:03:00,1.0,20200227.0,NAH4,U001,1,39.91,6.056390291339209,"(0, 15]"
56,56,U001,0200762301,C&S WH systems,2020-01-19,2020.0,2020-02-27,20200226,2020-01-13 00:03:00,1.0,20200227.0,NAC6,U001,1,23009.92,6.056390291339209,"(0, 15]"
57,57,U001,0200769623,WAL-MAR us,2020-01-19,2020.0,2020-02-27,20200227,2020-01-13 00:03:00,1.0,20200227.0,NAH4,U001,1,59107.06,6.056390291339209,"(0, 15]"
58,58,U001,0200705742,DOT foundation,2020-01-19,2020.0,2020-02-27,20200226,2020-01-13 00:03:00,1.0,20200227.0,NAA8,U001,1,20787.23,6.056390291339209,"(0, 15]"
59,59,U001,CCCA02,KRAFT  llc,2020-01-08,2020.0,2020-02-27,20200226,2020-01-02 00:04:00,1.0,20200227.0,NAG2,U001,1,14178.24,6.056390291339209,"(0, 15]"
60,60,U001,0200704858,WAKE corp,2020-01-19,2020.0,2020-02-27,20200226,2020-01-13 00:03:00,1.0,20200227.0,NAA8,U001,1,76760.76,6.056390291339209,"(0, 15]"
